Latitude,Longitude,Sample Date,pet,ppt,aet,def,pdsi,q,soil,tmax,tmin,vpd
-28.760833,17.730278,02-01-2011,174.2,32.7,31.1,143.1,3.6499999,1.6,0.0,36.1,22.689999,2.9199998
-26.861111,28.884722,03-01-2011,124.1,51.1,53.8,70.3,0.65999997,2.6,12.8,27.16,13.219999,0.95
-26.45,28.085833,03-01-2011,127.5,62.7,60.8,66.700005,-1.16,3.1,6.8,27.519999,14.09,1.02
-27.671111,27.236944,03-01-2011,129.7,84.2,83.200005,46.5,2.84,4.2,7.2000003,28.869999,14.639999,1.22
-27.356667,27.286389,03-01-2011,129.2,78.0,77.3,51.9,2.6499999,3.9,7.8,28.67,14.69,1.18
-27.01011111,26.69808333,04-01-2011,98.6,106.0,98.6,0.0,3.0,5.300000000000001,5.9,24.18,9.809999,0.90999997
-25.127778,27.628889,04-01-2011,105.5,135.1,105.5,0.0,2.0,6.800000000000001,24.0,27.17,12.62,1.05
-25.20639,27.558,04-01-2011,103.700005,143.4,103.700005,0.0,1.9599999,7.2,33.600002,27.0,12.5199995,1.04
-24.69514,27.40906,04-01-2011,111.8,141.1,111.8,0.0,2.01,7.1000000000000005,23.6,27.74,13.49,1.12
-26.98472222,26.63227778,04-01-2011,98.200005,109.3,98.200005,0.0,2.98,5.5,10.7,24.35,9.98,0.93
-28.141944,26.417778,04-01-2011,93.8,90.9,87.700005,6.1,3.82,4.5,4.8,23.88,8.78,0.90999997
-27.398611,26.614722,04-01-2011,100.9,97.2,92.700005,8.2,3.22,4.9,2.9,24.8,9.87,0.97999996
-33.501667,21.624167,04-01-2011,100.200005,16.3,15.5,84.700005,-3.02,0.8,0.1,24.55,9.33,0.97999996
-32.502778,19.535833,04-01-2011,119.9,16.2,15.400001,104.5,-2.78,0.8,0.6,27.06,10.92,1.35
-25.45963889,28.26430556,04-01-2011,103.6,141.9,103.6,0.0,2.06,7.1000000000000005,32.5,26.4,12.04,1.03
-27.495556,26.074722,04-01-2011,99.700005,99.5,94.5,5.2000003,3.26,5.0,0.4,24.73,9.17,0.96
-26.648056,27.089444,05-01-2011,83.5,63.3,70.5,13.0,4.21,3.2,12.2,21.92,5.92,0.88
-26.970278,27.211111,05-01-2011,82.1,66.7,72.5,9.6,4.8199997,3.3000000000000003,14.900001,21.859999,6.14,0.9
-27.38972222,26.46388889,05-01-2011,83.200005,97.4,83.200005,0.0,4.7999997,4.9,9.7,22.81,6.98,0.98999995
-27.044444,27.005,05-01-2011,82.4,74.60000000000001,75.6,6.8,4.81,3.7,13.0,21.949999,6.25,0.9
-30.830556,26.921389,06-01-2011,57.0,54.1,53.100002,3.9,4.41,2.7,8.0,14.589999,-0.94,0.51
-27.00222,28.76528,06-01-2011,70.0,26.4,37.100002,32.9,4.72,1.3,15.6,17.38,-2.55,0.64
-27.02314,28.59389,06-01-2011,72.4,27.0,32.600002,39.8,4.62,1.3,13.5,17.869999,-2.26,0.68
-30.679722,26.7125,06-01-2011,59.8,44.900000000000006,44.4,15.400001,4.45,2.2,5.1,15.74,-0.61,0.57
-30.160091,27.40124,06-01-2011,57.4,53.8,54.0,3.4,5.8399997,2.7,15.900001,14.62,-0.44,0.55
-32.595833,19.009444,06-01-2011,52.7,73.2,52.7,0.0,-2.05,3.7,19.1,19.279999,6.42,0.65999997
-25.99136,27.84208,10-01-2011,173.2,48.0,46.7,126.5,2.24,2.4000000000000004,6.3,28.539999,11.05,1.4599999
-26.73806,27.59194,10-01-2011,179.40001,39.5,38.5,140.90001,2.1299999,2.0,5.3,28.34,10.179999,1.48
-26.45,28.085833,10-01-2011,172.90001,45.3,43.9,129.0,1.41,2.3000000000000003,5.6,27.91,10.01,1.39
-30.86013889,29.07125,10-01-2011,138.0,28.8,30.1,107.9,3.75,1.4,9.900001,25.609999,10.95,1.03
-27.356667,27.286389,10-01-2011,185.8,31.6,30.5,155.3,2.28,1.6,3.7,29.06,10.19,1.5799999
-27.01011111,26.69808333,11-01-2011,191.7,44.3,42.3,149.40001,0.90999997,2.2,2.3,30.09,12.559999,1.5799999
-25.73411,27.21422,11-01-2011,182.5,56.2,54.2,128.3,0.74,2.8000000000000003,5.6,29.99,12.88,1.43
-26.98472222,26.63227778,11-01-2011,192.0,44.3,42.4,149.6,1.16,2.2,2.7,30.16,12.74,1.5999999
-27.398611,26.614722,11-01-2011,197.40001,45.2,43.2,154.2,1.0699999,2.3000000000000003,2.7,30.63,12.32,1.68
-27.671111,27.236944,11-01-2011,192.1,42.2,40.5,151.6,1.29,2.1,2.9,30.029999,11.679999,1.5699999
-29.160278,26.573333,11-01-2011,199.1,29.5,28.4,170.7,1.2099999,1.5,2.7,29.3,9.62,1.61
-34.250556,20.9925,11-01-2011,140.2,51.900000000000006,52.8,87.4,2.73,2.6,12.3,24.189999,12.67,0.76
-25.45963889,28.26430556,11-01-2011,182.8,54.2,52.2,130.6,0.77,2.7,5.7000003,31.4,14.759999,1.51
-25.81048333,27.90955222,12-01-2011,164.1,100.5,96.1,68.0,1.3299999,5.0,5.1,28.97,16.56,1.3299999
-27.273889,28.49,12-01-2011,164.3,104.7,100.1,64.200005,1.17,5.2,4.4,27.599998,14.009999,1.24
-27.4275,28.525833,12-01-2011,163.6,107.7,102.8,60.8,1.37,5.4,3.8,27.46,13.75,1.22
-28.883333,27.89,12-01-2011,164.2,105.8,101.0,63.2,2.09,5.300000000000001,3.3,26.349998,12.929999,1.18
-27.00222,28.76528,13-01-2011,161.6,95.4,91.200005,70.4,0.7,4.800000000000001,5.0,27.63,14.11,1.22
-27.02314,28.59389,13-01-2011,163.1,97.6,93.3,69.8,0.58,4.9,4.8,27.8,14.2,1.25
-30.534167,24.961944,13-01-2011,205.0,44.900000000000006,42.600002,162.40001,-1.48,2.2,0.0,29.9,13.13,1.7099999
-28.460833,21.248889,13-01-2011,244.7,52.3,49.600002,195.1,4.5,2.6,0.0,33.62,16.89,2.6299999
-29.658056,25.973333,14-01-2011,186.90001,71.0,67.700005,119.200005,1.41,3.6,2.2,28.289999,12.61,1.4399999
-28.760833,17.730278,16-01-2011,257.5,1.3,1.2,256.30002,1.42,0.1,0.0,34.98,19.64,3.03
-25.513889,31.224444,17-01-2011,149.40001,105.8,102.200005,47.2,1.05,5.300000000000001,13.2,28.0,17.51,1.02
-26.861111,28.884722,17-01-2011,161.0,89.0,85.200005,75.8,-1.89,4.5,5.2000003,27.43,14.009999,1.1899999
-31.554722,29.245556,17-01-2011,123.700005,106.2,115.3,8.400001,3.6299999,5.300000000000001,36.100002,24.68,16.57,0.62
-28.058889,30.373611,17-01-2011,158.0,99.6,95.0,63.0,-2.27,5.0,4.2000003,28.029999,14.679999,1.15
-25.127778,27.628889,18-01-2011,169.3,112.2,107.1,62.2,1.31,5.6000000000000005,6.1,31.17,17.97,1.52
-25.20639,27.558,18-01-2011,170.0,112.9,108.0,62.0,1.43,5.6000000000000005,6.5,31.109999,17.91,1.52
-24.69514,27.40906,18-01-2011,172.90001,121.0,115.6,57.3,1.74,6.0,7.0,31.609999,18.789999,1.61
-25.681111,31.783333,18-01-2011,149.2,65.4,63.100002,86.1,-1.52,3.3000000000000003,10.7,29.599998,18.289999,1.02
-27.802778,28.768333,18-01-2011,159.1,107.8,102.8,56.3,1.4499999,5.4,3.3,26.91,13.11,1.15
-27.398611,26.614722,18-01-2011,191.90001,84.9,80.9,111.0,1.3399999,4.2,2.5,29.939999,15.61,1.5699999
-31.104278,29.399722,18-01-2011,134.1,101.8,115.700005,18.4,4.25,5.1000000000000005,21.6,25.75,16.289999,0.81
-31.396,29.2651,18-01-2011,134.5,98.7,119.5,15.0,3.8799999,4.9,23.9,25.96,17.63,0.78999996
-33.38056,19.30167,18-01-2011,194.3,13.4,14.400001,179.90001,-3.1299999,0.7000000000000001,8.2,26.59,11.87,1.35
-33.31388889,19.07472222,18-01-2011,205.90001,13.8,15.1,190.8,-3.54,0.7000000000000001,10.2,29.13,14.309999,1.5799999
-27.495556,26.074722,18-01-2011,194.2,79.9,76.3,117.9,1.9499999,4.0,2.8,29.939999,14.9,1.5699999
-24.39619444,27.08983333,19-01-2011,169.2,96.5,92.6,76.6,1.86,4.800000000000001,8.400001,31.679998,18.75,1.5999999
-26.970278,27.211111,19-01-2011,173.90001,96.2,91.8,82.1,1.3199999,4.800000000000001,3.5,28.859999,15.42,1.4
