blue,red,green,nir,swir16,swir22
9774.0,12802.0,11574.0,13198.0,11823.0,10939.5
8495.5,8955.5,9483.0,18953.5,13493.0,10049.0
8857.0,10679.0,9628.0,12476.0,14877.0,13267.0
9590.0,10793.0,10670.0,15892.5,13935.0,11272.0
8804.0,9402.0,9772.0,16348.0,13683.0,10234.0
8972.0,9417.5,9798.0,14624.5,11113.5,9060.0
9961.5,9903.0,10278.0,15966.0,12745.0,9841.0
9920.0,10086.0,10497.5,16398.5,13279.5,10060.0
9723.0,9905.0,10448.0,17697.0,14767.0,10440.0
9498.0,10781.5,10635.0,15470.0,16988.5,13314.0
9082.0,9793.0,9841.0,14940.0,13658.0,10667.0
9275.0,10068.0,10319.5,16555.0,13851.5,10808.0
8806.0,9650.5,9447.0,14368.0,13003.5,10717.0
11005.0,15790.0,13829.0,19001.0,22754.0,20400.5
9139.0,11240.0,10034.0,13692.0,16483.0,13270.0
9175.0,10180.0,10452.0,17869.0,15158.0,11381.0
8643.0,9263.0,9733.5,17335.5,13507.5,9974.0
9228.5,10537.0,10414.5,14851.5,11830.5,9444.0
9344.0,10685.0,10572.0,16573.0,13330.0,10288.0
8852.0,9504.0,9906.0,16672.0,13986.0,10247.0
8502.0,9268.0,9187.0,14202.0,13281.0,9868.0
8465.0,9495.5,9462.0,14321.0,14858.0,11279.0
8684.0,9711.0,9625.0,14934.0,14224.0,11001.0
9052.0,10513.0,10141.0,16524.0,11533.0,9092.0
8698.0,9692.0,9723.0,15909.0,14571.0,11144.0
9263.0,10964.0,10482.0,15792.0,16213.0,13401.0
9865.0,11412.0,11177.0,18501.0,16629.5,12751.0
8494.0,8793.5,8901.0,10492.0,8782.0,7999.0
8857.0,10679.0,9628.0,12476.0,14877.0,13267.0
8576.0,9362.0,9548.0,16352.0,14059.0,10857.0
8804.0,9402.0,9772.0,16348.0,13683.0,10234.0
8972.0,9417.5,9798.0,14624.5,11113.5,9060.0
11025.0,12319.0,12110.0,17626.0,15922.0,12751.0
9498.0,10781.5,10635.0,15470.0,16988.5,13314.0
9275.0,10068.0,10319.5,16555.0,13851.5,10808.0
9590.0,10793.0,10670.0,15892.5,13935.0,11272.0
8559.0,10021.0,9478.0,14131.0,14643.5,11683.0
8697.0,9695.0,9342.0,13761.0,14325.0,11840.0
9139.0,11240.0,10034.0,13692.0,16483.0,13270.0
